Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41
"R (growth rate per h)",0.0581217894926899,0.0764620022979909,0.0485314993356536,0.0595580387030281,0.0626945624502464,0.0893372458578956,0.0789371244943648,0.0812750377953997,0.0845682399357827,0.0831998462063358,0.131014247971763,0.10797121756075,0.150789008841731,0.126896613484382,0.180056243718821,0.239140779955091,0.243989586669622,0.302233840969255,0.367579460533455,0.254902415282891,0.385853563417615,0.426194989865937,0.396179141317997,0.362722491228105,0.426846813617167,0.617934065259225,0.594279387748809,0.678668035941628,0.613180432050171,0.604315279803395,1.11689824861725,1.09619793245035,1.14015555886935,1.14097283975974,1.10006321343568,1.64436076620335,2.16255347013122,1.68881080690734,1.62729803278838,1.62017505350104
"R algorithmic standard error estimate",0.0192730322964777,0.845151052932893,0.014243634972788,0.0138498622800191,0.0160144825549439,0.00791942724667617,0.00766021411366363,0.00999220762217786,0.0184795914253206,0.00768469809276003,0.0227094512376006,0.0119717441063647,0.012863061822164,0.0202747145271227,0.00884445265000285,0.0258915451635908,0.0205365420263115,0.0237316564570986,0.0229653879073688,0.0267549402073092,0.0240903018336294,0.0168412744373477,0.0128507558954092,0.0590230979671883,0.0300524096162609,0.05356408158163,0.0406249505116164,0.0347074715770863,0.0128002946094539,0.0467574847004082,0.0222180785472449,0.0200179122883587,0.0249136444409036,0.294001567818585,0.0230947344426052,0.0292861929269723,0.106616374022855,0.0306815048461453,0.0270154339313454,0.0301437752649766
"K (population size OD600nm)",0.00351785735064517,0.0584592804797873,0.00387360231607566,0.00344158795469637,0.005521965142654,0.00424152101631959,0.00550794483912853,0.00517544369682458,0.00474918119524531,0.0050844578118564,0.00652492176096003,0.00954282345252097,0.00703181689353503,0.00644560485550618,0.00607227467781879,0.0108141338068957,0.0105085539017397,0.0142203392958068,0.0163260815199585,0.010717459809075,0.0175473539421208,0.0186454791662069,0.0167601945971575,0.0178022405389041,0.0204020817243839,0.0284144511628313,0.029026913990206,0.0301834300083441,0.0284689127823578,0.0294369983015062,0.0510253383618184,0.0522818459824602,0.0518596546065977,0.0564902555350676,0.0510159236856656,0.076785148216549,0.0819323373880747,0.0778246608353817,0.0769072036726072,0.0733060445377961
"K algorithmic standard error estimate",0.000252163727345397,0.580274072038038,0.000295477056281824,0.00016727007712577,0.00042102838964582,7.72857953724208e-05,0.000133066274891285,0.000151518976577025,0.000224992366566339,0.00010663642603579,0.000233512050730715,0.000307437702975152,0.000112292670707884,0.000208750463927888,0.000170218726217829,0.000220373240983662,0.000153582305104441,0.000202434878058036,0.000174398410248986,0.000197595210162613,0.000195603349224097,0.000129755934946125,0.000314242492603642,0.000524073558071399,0.000255536238765782,0.000410328108396694,0.000344202590962585,0.000912152370756006,0.000349544167230199,0.000383102353930114,0.000620894670386539,0.000573630244921605,0.000678554996923856,0.00241753804697585,0.000651395056997819,0.000839836933751605,0.00256472217769808,0.00086853880196475,0.000797649777286212,0.000847509641255712
"Yield (OD600nm per ug/mL malto3)",0.00140714294025807,0.0233837121919149,0.00154944092643026,0.00137663518187855,0.0022087860570616,0.000848304203263918,0.00110158896782571,0.00103508873936492,0.000949836239049062,0.00101689156237128,0.000652492176096003,0.000954282345252097,0.000703181689353503,0.000644560485550618,0.000607227467781879,0.000540706690344786,0.000525427695086986,0.000711016964790342,0.000816304075997924,0.000535872990453748,0.000438683848553021,0.000466136979155172,0.000419004864928938,0.000445056013472602,0.000510052043109596,0.000355180639535391,0.000362836424877576,0.000377292875104302,0.000355861409779472,0.000367962478768827,0.000318908364761365,0.000326761537390376,0.000324122841291235,0.000353064097094173,0.00031884952303541,0.000307140592866196,0.000327729349552299,0.000311298643341527,0.000307628814690429,0.000293224178151185
"Yield algorithmic standard error estimate",0.000100865490938159,0.232109628815215,0.00011819082251273,6.69080308503078e-05,0.000168411355858328,1.54571590744842e-05,2.6613254978257e-05,3.0303795315405e-05,4.49984733132679e-05,2.1327285207158e-05,2.33512050730715e-05,3.07437702975152e-05,1.12292670707884e-05,2.08750463927888e-05,1.70218726217829e-05,1.10186620491831e-05,7.67911525522206e-06,1.01217439029018e-05,8.7199205124493e-06,9.87976050813064e-06,4.89008373060243e-06,3.24389837365314e-06,7.85606231509105e-06,1.3101838951785e-05,6.38840596914456e-06,5.12910135495867e-06,4.30253238703232e-06,1.14019046344501e-05,4.36930209037748e-06,4.78877942412643e-06,3.88059168991587e-06,3.58518903076003e-06,4.2409687307741e-06,1.51096127935991e-05,4.07121910623637e-06,3.35934773500642e-06,1.02588887107923e-05,3.474155207859e-06,3.19059910914485e-06,3.39003856502285e-06
"Lag estimate 1 (h)",3.13404507044909,-46.8731973143614,2.51620033957639,3.26182854247691,1.74284463648316,2.69239135959206,2.45267988699147,2.51316190825003,2.83585045181722,2.7488164513945,2.81611609008393,1.93944008338259,3.42922440600893,3.03929068416096,3.36836128457535,3.24912642452532,3.85619441035428,3.80822110326699,4.20655967551502,3.6151088141331,3.81224443332215,3.77483367453406,4.32055974846533,4.05075632048802,4.11375503678282,4.78561563335496,4.58214092454351,5.01950538163997,5.06478268678751,5.04273871830632,6.04227801868523,5.7253535513899,5.44514783507424,5.39827054650862,5.94450375544004,6.24747263026649,6.31285238585539,6.19903939054006,6.80678979796011,6.45316723570583
"Lag estimate 2 (h)",3.04225352112676,5.40845070422535,0.338028169014085,4.05633802816901,0.338028169014085,2.36619718309859,1.69014084507042,2.70422535211268,2.36619718309859,3.38028169014085,0.338028169014085,3.04225352112676,3.04225352112676,2.02816901408451,3.04225352112676,2.70422535211268,4.3943661971831,4.05633802816901,4.05633802816901,3.04225352112676,3.71830985915493,3.71830985915493,4.05633802816901,3.71830985915493,3.71830985915493,4.3943661971831,4.3943661971831,4.73239436619718,5.07042253521127,4.05633802816901,5.74647887323944,5.40845070422535,5.07042253521127,2.70422535211268,5.40845070422535,5.74647887323944,5.07042253521127,5.74647887323944,6.42253521126761,5.74647887323944
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.849618002067701,0.873200006153274,0.878330458279743,0.920700238675756,0.91227476560433,0.988095667552607,0.985149293173354,0.976398614275596,0.929607969306584,0.986495034377226,0.955594768126059,0.981762228192711,0.98931452097365,0.962001726779465,0.951969737000846,0.982946631000918,0.990166750837634,0.991062525674622,0.994589321388772,0.984732530149496,0.994414731994258,0.997789239016196,0.977481241057379,0.962473252939203,0.992860235418568,0.989778468562214,0.993347584126469,0.942786294021939,0.99007495124347,0.991686879465885,0.990104759178076,0.991973542434833,0.988671595925335,0.915458416626033,0.989128814071155,0.991969617928758,0.937777292047698,0.991647183658305,0.992730015366686,0.991016321188545
