Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36
"R (growth rate per h)",6.8934045797355,3.31785414816991,0.0446747502975801,0.0372622131080472,0.0334340501328032,0.0781873730313475,0.0736704834615792,0.0530461986370076,1336.2032994938,0.0478978611441873,0.10081958756335,0.110510571590027,0.0990728719702936,0.115439857297741,0.123355286580585,0.233096813664038,0.199444002039357,0.213337848353499,0.241368292087608,0.328724014631276,0.404666909442933,0.420450800536784,0.420407881323484,0.418938633143108,0.45004904545746,0.818551505335501,0.826397517672228,0.787680844064918,0.803844931478218,0.825471062381012,3.55156824655804,2.07445847456391,1.29914946120539,1.27277240374351,1.30253543539651
"R algorithmic standard error estimate",11.8359298088041,10.9637026751999,0.0103352913165524,0.0291758366224664,0.00881926086228603,0.019218031398251,0.00798958717056735,0.00615644713553869,2837.5608334558,0.00639463471181886,0.0147578904296849,0.00482941170843607,0.00258437894879052,0.00554723002333039,0.00442122071338759,0.00977437773725776,0.00698655744081117,0.00772349246714739,0.00789820939254363,0.0196048210395461,0.00950684184850979,0.00894479828649682,0.00952129596487901,0.00921256850068189,0.0101133434400895,0.0130521118850627,0.0124907285415604,0.0121392087064247,0.0127729644646661,0.0126038179768985,0.187071571153925,0.0232359643617232,0.014218301053802,0.0140179348085841,0.0132117683252343
"K (population size OD600nm)",0.655349915827634,0.260176660357443,0.000878505553381574,0.00201223371114351,0.000671189012292204,0.00163099626896009,0.0022904507653745,0.0018302965368881,304.379812689254,0.00244255651860003,0.00652445152223489,0.00614056733752821,0.00609186421652837,0.00593203537388939,0.00658236382215023,0.0116302748925737,0.011775291967235,0.0122044314238799,0.0122683908709043,0.0117180127006824,0.0218425260696722,0.0226554914538856,0.0218800149034662,0.0211463721560438,0.0212997617232709,0.0457556522471147,0.0468653912758445,0.0458077569851846,0.04523761564945,0.0456068144037208,0.154178495232708,0.122404326614271,0.0945545518303927,0.0961345865376548,0.0944457922690165
"K algorithmic standard error estimate",1.0623177211732,0.821584023704789,0.00013666101823964,0.000323497581378294,0.000119269668647817,0.000270185427269279,0.000159309183419001,0.000132439383169357,563.368530508597,0.000189000039522689,0.000181194904650843,0.000157066333727163,9.28141068410835e-05,0.00017091963426435,0.0001388030586363,0.000302028554909224,0.000248690814138797,0.000268155289455573,0.000249464299098545,0.000462568014822968,0.000330165953869573,0.000312631765766166,0.000318026952974378,0.000299971937867005,0.000309885114215493,0.000485691299733533,0.000475985440368912,0.000463620767709989,0.000479292866859921,0.000462734866286482,0.00626321211866624,0.00101480126069355,0.000743317508675019,0.000752240021570372,0.00068531979880608
"Yield (OD600nm per ug/mL malto3)",0.262139966331054,0.0520353320714886,0.000175701110676315,0.000402446742228701,0.000134237802458441,0.000163099626896009,0.00022904507653745,0.00018302965368881,30.4379812689254,0.000244255651860003,0.000326222576111745,0.00030702836687641,0.000304593210826418,0.00029660176869447,0.000329118191107512,0.000290756872314342,0.000294382299180876,0.000305110785596996,0.000306709771772608,0.000292950317517059,0.000273031575870902,0.00028319364317357,0.000273500186293327,0.000264329651950548,0.000266247021540886,0.000285972826544467,0.000292908695474028,0.000286298481157403,0.000282735097809062,0.000285042590023255,0.00061671398093083,0.000489617306457084,0.000378218207321571,0.000384538346150619,0.000377783169076066
"Yield algorithmic standard error estimate",0.42492708846928,0.164316804740958,2.73322036479281e-05,6.46995162756588e-05,2.38539337295634e-05,2.70185427269279e-05,1.59309183419001e-05,1.32439383169357e-05,56.3368530508597,1.89000039522689e-05,9.05974523254216e-06,7.85331668635813e-06,4.64070534205417e-06,8.5459817132175e-06,6.94015293181501e-06,7.5507138727306e-06,6.21727035346993e-06,6.70388223638932e-06,6.23660747746363e-06,1.15642003705742e-05,4.12707442336967e-06,3.90789707207708e-06,3.97533691217973e-06,3.74964922333756e-06,3.87356392769366e-06,3.03557062333458e-06,2.9749090023057e-06,2.89762979818743e-06,2.99558041787451e-06,2.89209291429052e-06,2.5052848474665e-05,4.05920504277419e-06,2.97327003470007e-06,3.00896008628149e-06,2.74127919522432e-06
"Lag estimate 1 (h)",27.4675533444994,25.2561609790455,5.22211078923563,3.14995992799993,5.42995291120916,5.52365669960573,5.75821163386329,5.40239501707404,55.4116387663794,5.05142034625327,5.13493852204699,5.63714805121964,5.99408625290243,5.97841696569709,5.61354494203408,6.78657091768733,6.73115546135187,6.78950949824653,6.97220002575194,7.33976973990046,8.37709588700083,8.64472916590533,8.11628140818967,8.14103415640394,7.95240367783834,9.74411376717213,10.1573955619916,9.44891762766147,9.83584635995479,9.62182912757698,14.6561081601944,14.0897310495681,13.7066179061471,13.4415385640733,13.5481765176496
"Lag estimate 2 (h)",20.9577464788732,19.943661971831,NaN,NaN,NaN,NaN,5.74647887323944,5.74647887323944,7.09859154929577,7.09859154929577,5.07042253521127,4.73239436619718,6.76056338028169,5.40845070422535,5.07042253521127,5.74647887323944,5.40845070422535,5.40845070422535,5.74647887323944,6.08450704225352,7.77464788732394,8.11267605633803,7.43661971830986,7.09859154929577,7.43661971830986,9.12676056338028,9.80281690140845,8.7887323943662,9.46478873239437,8.7887323943662,13.1830985915493,13.5211267605634,13.1830985915493,12.8450704225352,13.1830985915493
"malto3 concentration used for this datapoint (ug/mL)",2.5,5,5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.886261751487055,0.881373803525857,0.380189132154843,0.51004368295611,0.320203127730878,0.350535691976768,0.754205458328517,0.740383372191595,0.476138678223909,0.715253840962149,0.966830777077714,0.957890728413258,0.984542733165027,0.946951699508968,0.971009869337088,0.956095433630287,0.970488408678,0.968130642678063,0.972567542369502,0.903774068423871,0.984510455848484,0.987046457696714,0.985680495153057,0.986353126709003,0.985675433847258,0.992286866749692,0.992940482693033,0.992981939882544,0.99231668389524,0.992947314250178,0.900521676541709,0.995520290043501,0.996076152975143,0.996107477164989,0.996632202454021
