Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39
"R (growth rate per h)",0.0163375296695652,0.0183773590821385,0.0311641331724091,0.0372106653696903,0.0225351642707338,0.0263336227073676,0.0201271181000143,0.0296972854155363,0.0372678102716085,0.0341179349108874,0.0388348386422758,0.0434336765538332,0.0295949054110083,0.0585047844990227,0.0875571549967028,0.10390984459812,0.11470733905536,0.0828260480602612,0.282720670310732,0.215556206335351,0.331577291583112,0.319137106684136,0.38834372277747,0.451826312741374,0.422968198487288,0.345739567548393,0.32022196755086,0.357214843170775,0.710180220822849,0.640374539510994,0.687059150441016,0.692289122534497,0.657764282759342,1.09178175513107,1.20643743775855,1.18260777661704,1.1990831122667,1.21718031007613
"R algorithmic standard error estimate",0.0102075934794632,0.0111228755727262,0.00914455917757459,0.0150386280634501,0.0149867271448994,0.0192225603064008,0.00902163333009826,0.0164487945770931,0.0144267894318239,0.0145812792569021,0.0133795897686851,0.0184350717686133,0.0120143272901161,0.0132414597936948,0.020840916325945,0.023976420493073,0.0137552263540999,0.0265503643941124,0.0275909728828208,0.0107062361298552,0.0118149886308899,0.0120035317930506,0.0172444346044451,0.0148640838678581,0.0100202430500252,0.00960521791869159,0.00795602334336333,0.00653442304386976,0.0117413342043365,0.0123010675749663,0.0122878617938933,0.0132102937708316,0.0114772656322271,0.0218467637579587,0.0151553150994106,0.017713375288944,0.019262405827224,0.0177202268889387
"K (population size OD600nm)",0.0016484793362132,0.00154368188583837,0.000686060134959888,0.00321600961209633,0.00317337721954006,0.00527628695558838,0.00331167955455472,0.00256232245520682,0.00482756522914115,0.0043930109829948,0.00345115987241453,0.00324458765678348,0.00481715940316548,0.00777709545146554,0.00598608900077016,0.00598790799438366,0.00291213629964355,0.00538449782788378,0.023452851806445,0.0115306291544456,0.0168618641143877,0.016199906877284,0.0165939255235492,0.0218963595297343,0.0230393224730852,0.0193513870379996,0.0180029365690367,0.0211403347507009,0.0388956552406876,0.0403580858702835,0.0408403427323742,0.0388019070843335,0.0415312363046607,0.0694555898064931,0.0840794908093393,0.0694399843130689,0.0679214793459583,0.0697151838391048
"K algorithmic standard error estimate",0.000283723957177783,0.000227856345041179,0.000136282199585751,0.00034099466546643,0.000866193716049448,0.00223477109497614,0.000551549158544936,0.000360985078585508,0.000672473215822486,0.000649442146049935,0.000293276111218589,0.000295800666176422,0.000682693253513856,0.000578367051251658,0.000293235827779873,0.000253153002801812,0.000233970666918549,0.000345276239301238,0.000453318668497714,0.000341720420967533,0.000371774887675021,0.000375975617687162,0.000472148021957995,0.000461806025040519,0.000339006951381631,0.000331326921929252,0.000275974847068146,0.000236581931785867,0.000420540264847027,0.000489431166545129,0.00046489286969179,0.000476170208507293,0.000455498067247626,0.000888223830402592,0.000700905837905344,0.000673224184830068,0.000707941657598895,0.000651855007076699
"Yield (OD600nm per ug/mL malto3)",0.000659391734485282,0.000617472754335349,0.000274424053983955,0.000643201922419267,0.000634675443908013,0.00105525739111768,0.000662335910910944,0.000512464491041364,0.000482756522914115,0.00043930109829948,0.000345115987241453,0.000324458765678348,0.000481715940316548,0.000388854772573277,0.000299304450038508,0.000299395399719183,0.000145606814982177,0.000269224891394189,0.000586321295161125,0.00028826572886114,0.000421546602859694,0.000404997671932099,0.000414848138088731,0.000273704494121679,0.000287991530913565,0.000241892337974995,0.000225036707112959,0.000264254184383761,0.000243097845254298,0.000252238036689272,0.000255252142077339,0.000242511919277084,0.00025957022690413,0.000277822359225972,0.000336317963237357,0.000277759937252275,0.000271685917383833,0.000278860735356419
"Yield algorithmic standard error estimate",0.000113489582871113,9.11425380164717e-05,5.45128798343003e-05,6.81989330932861e-05,0.00017323874320989,0.000446954218995228,0.000110309831708987,7.21970157171015e-05,6.72473215822486e-05,6.49442146049935e-05,2.93276111218589e-05,2.95800666176422e-05,6.82693253513856e-05,2.89183525625829e-05,1.46617913889936e-05,1.26576501400906e-05,1.16985333459275e-05,1.72638119650619e-05,1.13329667124429e-05,8.54301052418831e-06,9.29437219187552e-06,9.39939044217905e-06,1.18037005489499e-05,5.77257531300648e-06,4.23758689227039e-06,4.14158652411565e-06,3.44968558835183e-06,2.95727414732333e-06,2.62837665529392e-06,3.05894479090705e-06,2.90558043557369e-06,2.97606380317058e-06,2.84686292029767e-06,3.55289532161037e-06,2.80362335162138e-06,2.69289673932027e-06,2.83176663039558e-06,2.6074200283068e-06
"Lag estimate 1 (h)",2.72599878582743,3.27125705404898,5.95124025409541,2.68474553962798,-0.036386697526086,-3.84625303635464,0.90409505297269,2.95815168470867,0.976054103683686,1.29838127928543,3.38933172653107,4.18384796663255,1.56847334138438,1.81805802892379,4.24770806160226,4.85897695347038,6.16156316984816,4.33878376154188,6.73357828322414,6.00793821901544,6.84419107612097,6.75313518966056,7.13353507256371,7.73989469380521,7.27322757649569,7.15623763003941,7.21096123058848,7.18300097227945,9.00801416659464,8.48196411971625,8.47417918496155,8.54215138956335,8.34551355146083,8.93669155230003,10.6767487845154,8.98778190567921,8.8969466512616,8.60118300785326
"Lag estimate 2 (h)",2.70422535211268,3.71830985915493,NaN,0.338028169014085,0.338028169014085,0.338028169014085,0.338028169014085,0.338028169014085,0.338028169014085,0.338028169014085,0.338028169014085,0.338028169014085,3.04225352112676,0.338028169014085,0.338028169014085,0.338028169014085,4.3943661971831,0.338028169014085,4.05633802816901,0.338028169014085,3.71830985915493,4.05633802816901,5.40845070422535,2.02816901408451,6.08450704225352,6.08450704225352,6.08450704225352,6.08450704225352,8.7887323943662,7.77464788732394,7.43661971830986,7.77464788732394,6.76056338028169,8.45070422535211,10.1408450704225,8.11267605633803,8.11267605633803,7.77464788732394
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,5,5,5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.613112260681624,0.618740691734687,0.272911118863654,0.790187883343322,0.694027415634644,0.829566778928526,0.810732440272206,0.66315411548372,0.843700374267014,0.807238397068094,0.832408843191224,0.766492126816405,0.825588853907809,0.932975097866619,0.9143823599144,0.924531554586669,0.695714446757675,0.856837379693999,0.983677390343369,0.944014279825826,0.967938532183405,0.964627873146504,0.947643942247089,0.970395280812409,0.985399479495977,0.980345024552273,0.984175253379455,0.991499923609862,0.992001187949738,0.989960669357592,0.99114776764264,0.989728334798198,0.991776531030985,0.988841699224484,0.995269392424157,0.993557144660277,0.992562592897162,0.994009387463148
