Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36
"R (growth rate per h)",0.0260565715386643,0.0355671829356761,0.0547967412269117,0.0651123521811134,0.0686790532664372,0.0649276215976168,0.256418674250598,0.0909310009272113,0.0891216670864747,0.0964247956275117,0.236672617086862,0.233812420205705,0.156489419258143,0.135907608063461,0.127700317051497,0.205385748608574,0.26426709130535,0.236416024949647,0.224421336167473,0.198990912101659,0.394547439266941,0.432724647790177,0.393980851987018,0.365285445960632,0.372352100617368,0.728650960840404,0.850493295315628,0.768396649852744,0.729101025886869,0.767362806697514,1.18076147989646,1.18670603482029,1.156883091653,1.13260941036242,1.19845238655086
"R algorithmic standard error estimate",0.00599827849619821,0.0354662772917453,1.99767996128979,2.85492590598111,0.00783038224405428,0.0241852874826702,20.2398773688149,0.009209535242679,0.0211147244177729,0.00656485280535061,0.0254489409341404,0.0147502392356203,0.0081071677051646,0.00574878837720972,0.00505006562719782,0.0267451941608721,0.00704663215460329,0.00646208216174796,0.00580889652210233,0.0153873911191262,0.0345769678986331,0.00913883986546134,0.00800546233565564,0.0251054896451409,0.00842551831048871,0.0141943419109539,0.0184112629320784,0.0146128985973275,0.0137850906698679,0.0143679559496975,0.0169406169890047,0.017892121337477,0.0161463916051361,0.0191147732241926,0.0178688472149008
"K (population size OD600nm)",0.000922000742292658,0.00543255078309321,1.38819643504839,2.00022556229089,0.00193567099523776,0.00426054671837102,9.72573322620094,0.00282650759181063,0.00487737232950527,0.00308621677454205,0.00439249997773492,0.00432718149585781,0.00575647814438088,0.00617862748376584,0.00620022815175349,0.0114273117774298,0.0114542066743235,0.0120030628614167,0.0120878444739109,0.0127166103394897,0.0219813208101718,0.0217730097379503,0.0213849147095859,0.0253214220727508,0.0224691125827103,0.0441392730461208,0.0410125385552925,0.0423983078505398,0.0423761037091802,0.0416220239097166,0.0676015027662869,0.066746489673004,0.0677039411716506,0.0701042508820733,0.0682717897340479
"K algorithmic standard error estimate",0.000149697886116607,0.00228061285187832,25.4965483856737,44.0943854730477,0.000129754904183302,0.000370516751028267,385.386120324802,0.000169878003165835,0.000226945070349196,0.00012645058615423,0.000338414200278896,0.000184208422518559,0.00017795544066379,0.000151919745036174,0.000141040259405513,0.000263834697198801,0.000184364528422217,0.000191406490215239,0.000181597350937697,0.000183281562086346,0.000335637409260111,0.000269698191151056,0.000257736401100123,0.000327578444159819,0.000302844865008951,0.000532019641606734,0.000566675078102894,0.000504251350693214,0.000494140169926163,0.000488752554712285,0.000627249994788556,0.000650363437257146,0.000609337312488762,0.000745574400349004,0.000655382708410443
"Yield (OD600nm per ug/mL malto3)",0.000368800296917063,0.00217302031323728,0.277639287009678,0.400045112458178,0.000387134199047553,0.000426054671837102,0.972573322620094,0.000282650759181063,0.000487737232950527,0.000308621677454205,0.000219624998886746,0.00021635907479289,0.000287823907219044,0.000308931374188292,0.000310011407587674,0.000285682794435745,0.000286355166858089,0.000300076571535418,0.000302196111847773,0.000317915258487242,0.000274766510127147,0.000272162621724379,0.000267311433869824,0.000316517775909385,0.000280863907283879,0.000275870456538255,0.000256328365970578,0.000264989424065874,0.000264850648182376,0.000260137649435729,0.000270406011065147,0.000266985958692016,0.000270815764686603,0.000280417003528293,0.000273087158936192
"Yield algorithmic standard error estimate",5.98791544466429e-05,0.000912245140751329,5.09930967713474,8.81887709460954,2.59509808366604e-05,3.70516751028267e-05,38.5386120324802,1.69878003165835e-05,2.26945070349196e-05,1.2645058615423e-05,1.69207100139448e-05,9.21042112592794e-06,8.8977720331895e-06,7.5959872518087e-06,7.05201297027567e-06,6.59586742997002e-06,4.60911321055542e-06,4.78516225538097e-06,4.53993377344242e-06,4.58203905215864e-06,4.19546761575139e-06,3.3712273893882e-06,3.22170501375154e-06,4.09473055199773e-06,3.78556081261189e-06,3.32512276004209e-06,3.54171923814309e-06,3.15157094183259e-06,3.08837606203852e-06,3.05470346695178e-06,2.50899997915422e-06,2.60145374902859e-06,2.43734924995505e-06,2.98229760139602e-06,2.62153083364177e-06
"Lag estimate 1 (h)",9.6513263463752,-0.269089151708776,704.594993960258,980.624311633297,3.4245529576684,2.76145447000402,1929.85378593572,3.89283937020452,3.65500494759682,4.28233891659366,5.43157154682805,5.08999970407445,4.5659027486571,4.69950056344886,4.68293792065106,5.14923247245526,5.46536200929527,5.19812260839077,5.29287349979753,5.35735258969241,5.48512790555053,5.30039494217168,5.90450404293132,5.90874361035826,6.47262645454658,7.64271991977784,7.57253022651524,7.54853053092511,7.35075681683058,7.55852702499376,8.83624737879712,8.72599665929009,8.84244019632159,8.33584723730047,8.65903289365871
"Lag estimate 2 (h)",13.5211267605634,0.338028169014085,3.38028169014085,0.338028169014085,4.05633802816901,3.38028169014085,4.3943661971831,4.3943661971831,5.07042253521127,4.3943661971831,3.71830985915493,5.40845070422535,4.3943661971831,3.71830985915493,4.73239436619718,5.07042253521127,5.40845070422535,4.3943661971831,4.73239436619718,4.73239436619718,5.07042253521127,4.73239436619718,5.40845070422535,5.40845070422535,6.42253521126761,6.76056338028169,7.09859154929577,7.09859154929577,7.09859154929577,7.09859154929577,8.11267605633803,7.77464788732394,8.7887323943662,7.09859154929577,8.11267605633803
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.354870460191834,0.515869381220799,0.417185588231921,0.41547223626353,0.774802324321395,0.816669851306612,0.241482888368996,0.809206965805153,0.919594815301947,0.900543429724596,0.742218017392884,0.891277052819338,0.940668977062018,0.961610531577406,0.96697736140202,0.97529830794293,0.982949771091049,0.983331153974138,0.98514856442915,0.990612826300538,0.988777296085721,0.989857883025954,0.990298872356319,0.992375692318978,0.987795223308634,0.990119213491577,0.987089357320669,0.990392811656022,0.990768431935923,0.990633216290367,0.994097256807626,0.993496539366368,0.994443926533875,0.99226500293336,0.993686917048924
