Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40
"R (growth rate per h)",0.0173880028517783,0.033220903258343,0.0583114138333674,0.0176388943945933,0.0212046283470942,0.00609712808853717,0.0448722310538328,0.0115529137715363,0.0181549921623006,0.0200860152331445,0.0250524233532045,0.0172501714045686,0.0205672716273361,0.0225715586859026,0.0574056062019895,0.0594569179213524,0.0712018020574665,0.05642435333424,0.0645799354907444,0.148435320720233,0.17205415121789,0.189452863813285,0.210338617579082,0.174106081235642,0.363762714354716,0.355954067327181,0.360049296439521,0.355482099959875,0.373001433680503,0.794412057243134,0.796926017324766,0.795900915356761,0.759148430517873,0.795338476145602,2.11306335334603,2.07485041571699,2.09491165347406,2.04019465340761,1.99685617264887
"R algorithmic standard error estimate",0.00704437780778655,0.00425443558329356,0.00482418238678793,0.00591758092946454,0.00263036240493629,0.0036106085517169,0.00224781482003257,0.0109789853938523,0.0067928392193482,0.00859502253875337,0.00448706331366793,0.0038504598389204,0.00366988790215874,0.00407225756827594,0.00727673392365876,0.00506112177532516,0.0107258268257657,0.00526049166546427,0.00594706763541182,0.0145673565473371,0.0161781956682248,0.0190270810785594,0.00633337609371061,0.00441854447938423,0.0376778807711539,0.0352171406541249,0.00820926183012226,0.00774857730975008,0.00828345477919733,0.0144432566102257,0.015653175392276,0.0149011377047089,0.0136818451277496,0.0144545676263587,0.0304634980094354,0.0290754437873549,0.0311058966144288,0.0275993757206505,0.0270677976937899
"K (population size OD600nm)",0.00207373731485757,0.00103344585696083,0.00097273864475938,0.00219715481426816,0.00165776704023837,0.00118559368172676,0.00107498932830914,0.00235656815575355,0.00143590544229588,0.00192361893388477,0.00308923659987578,0.00380844307051901,0.00338499851652572,0.00510095341610308,0.00560415020677244,0.00617856655682087,0.00551345719713068,0.0064122760570328,0.00587156770543399,0.0121577922898622,0.012234209779862,0.0122904627496231,0.0130644698844848,0.0116684695849964,0.0233571704679469,0.0229331495200174,0.0222605501375223,0.023453420369406,0.0227375811534785,0.0486386398147769,0.0483724502568072,0.0484522264103699,0.048435349953868,0.0480335323893486,0.11399976270898,0.114760121916991,0.115738468743288,0.11700516569459,0.114344987302463
"K algorithmic standard error estimate",0.000275266544747795,9.13450050044322e-05,5.35415073355393e-05,0.000251208654520402,0.00011532957746148,0.000217318389777818,3.67389840002035e-05,0.0010718183273657,0.000117926975152494,0.000246248354135718,0.000150202545378161,0.000311814139386366,0.000184806284613557,0.000311208072745352,0.000166035177382789,0.000126062657343525,0.000162737190595904,0.000143610528507951,0.000112511320235026,0.00024986411387322,0.000219320944584608,0.000224075925947382,0.000235464082779389,0.000176546097976398,0.000437718169543484,0.000407642377370856,0.00030665350183988,0.000306595057624384,0.000307389402047089,0.0005530135408175,0.000585959597795039,0.000564342359146741,0.000549634203225811,0.000553239307961364,0.00109240282179807,0.00105547813032484,0.00112896059168467,0.00105423451548238,0.00102354086056173
"Yield (OD600nm per ug/mL malto3)",0.000829494925943029,0.00041337834278433,0.000389095457903752,0.000878861925707265,0.000663106816095349,0.000237118736345352,0.000214997865661828,0.000471313631150711,0.000287181088459176,0.000384723786776954,0.000308923659987578,0.000380844307051901,0.000338499851652572,0.000510095341610308,0.000280207510338622,0.000308928327841043,0.000275672859856534,0.00032061380285164,0.000293578385271699,0.000303944807246555,0.00030585524449655,0.000307261568740577,0.000326611747112121,0.000291711739624909,0.000291964630849337,0.000286664369000218,0.000278256876719029,0.000293167754617575,0.000284219764418482,0.000303991498842356,0.000302327814105045,0.000302826415064812,0.000302720937211675,0.000300209577433429,0.000455999050835919,0.000459040487667963,0.000462953874973154,0.00046802066277836,0.00045737994920985
"Yield algorithmic standard error estimate",0.000110106617899118,3.65380020017729e-05,2.14166029342157e-05,0.000100483461808161,4.6131830984592e-05,4.34636779555636e-05,7.3477968000407e-06,0.000214363665473141,2.35853950304987e-05,4.92496708271436e-05,1.50202545378161e-05,3.11814139386366e-05,1.84806284613557e-05,3.11208072745352e-05,8.30175886913947e-06,6.30313286717626e-06,8.13685952979522e-06,7.18052642539755e-06,5.62556601175128e-06,6.24660284683051e-06,5.48302361461521e-06,5.60189814868455e-06,5.88660206948474e-06,4.41365244940995e-06,5.47147711929355e-06,5.0955297171357e-06,3.8331687729985e-06,3.8324382203048e-06,3.84236752558861e-06,3.45633463010938e-06,3.66224748621899e-06,3.52713974466713e-06,3.43521377016132e-06,3.45774567475852e-06,4.3696112871923e-06,4.22191252129936e-06,4.51584236673867e-06,4.21693806192952e-06,4.09416344224694e-06
"Lag estimate 1 (h)",1.63794391489223,8.44866087757557,4.39465409035069,1.37751938892513,5.85224597585671,7.86152124348475,6.49410269796979,-1.89571485487311,4.22039127254596,1.90973828050263,3.74994250198041,1.38385279228152,3.40349050419515,3.29304229541266,4.61597158568825,4.63178746950894,6.14000637707662,5.32573341723084,6.48763121321293,5.21892071443211,5.87453573280396,6.0653456445667,6.7416495330281,6.95956043417282,6.03560924535049,6.24713823825886,6.99985995029482,7.06719849069002,7.16585161480941,8.03462670203965,7.54929804041327,7.83934816367125,8.45189745808599,8.40684136347067,9.5137888987528,9.18317769571285,9.21073831119417,9.88776170741506,9.57071898354624
"Lag estimate 2 (h)",3.71830985915493,4.3943661971831,3.71830985915493,3.71830985915493,7.77464788732394,0.338028169014085,0.338028169014085,3.04225352112676,4.05633802816901,4.3943661971831,4.73239436619718,5.40845070422535,5.40845070422535,3.04225352112676,2.70422535211268,5.40845070422535,4.3943661971831,6.42253521126761,6.76056338028169,5.07042253521127,4.73239436619718,6.76056338028169,3.38028169014085,6.42253521126761,5.40845070422535,6.08450704225352,7.43661971830986,6.42253521126761,6.76056338028169,7.43661971830986,7.09859154929577,7.77464788732394,8.11267605633803,8.11267605633803,8.7887323943662,8.45070422535211,8.45070422535211,9.12676056338028,8.7887323943662
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.81365224383073,0.652481024516385,0.831920397497058,0.869685767317337,0.752659583124378,0.664455003746719,0.926430854923294,0.628501976614048,0.806593385396723,0.78529901594678,0.947936057793642,0.950720502579451,0.953495747880251,0.963760106383945,0.972098558602009,0.987146347969797,0.962841447288271,0.984233599566104,0.984961101645321,0.983526192431378,0.985659728425379,0.984392276920696,0.978315421743689,0.98456961615421,0.983487600000899,0.984953621711109,0.987187785611154,0.988429247296261,0.987640558925209,0.99117965862442,0.990026371454982,0.990756785629505,0.991198585945534,0.990939773791503,0.99370404683592,0.994197782433016,0.993478102267006,0.994432630757546,0.994502220080003
