Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49
minutes,2.5,2.5,2.5,2.5,2.5,NaN,5,5,5,5,5,NaN,10,10,10,10,10,NaN,20,20,20,20,20,NaN,40,40,40,40,40,NaN,80,80,80,80,80,NaN,160,160,160,160,160,NaN,250,250,250,250,250,NaN
0:00:00,0.076,0.095,0.077,0.081,0.077,0.075,0.076,0.077,0.075,0.077,0.077,0.073,0.075,0.074,0.075,0.075,0.076,0.073,0.077,0.076,0.077,0.076,0.076,0.074,0.076,0.078,0.077,0.075,0.075,0.072,0.075,0.084,0.074,0.074,0.074,0.073,0.076,0.08,0.074,0.081,0.074,0.072,0.097,0.078,0.078,0.078,0.087,0.074
0:20:00,0.076,0.095,0.076,0.08,0.077,0.075,0.076,0.077,0.075,0.077,0.077,0.073,0.075,0.074,0.075,0.075,0.076,0.073,0.077,0.077,0.077,0.077,0.076,0.074,0.076,0.078,0.077,0.075,0.075,0.072,0.075,0.083,0.074,0.074,0.074,0.072,0.076,0.08,0.074,0.081,0.074,0.072,0.097,0.078,0.078,0.078,0.087,0.074
0:40:00,0.076,0.095,0.077,0.08,0.077,0.075,0.076,0.077,0.075,0.077,0.077,0.073,0.075,0.074,0.076,0.075,0.076,0.073,0.077,0.077,0.078,0.077,0.076,0.074,0.076,0.078,0.077,0.075,0.075,0.072,0.075,0.083,0.074,0.074,0.074,0.072,0.076,0.08,0.074,0.081,0.075,0.072,0.097,0.078,0.078,0.078,0.087,0.074
1:00:00,0.076,0.095,0.077,0.08,0.077,0.076,0.076,0.077,0.076,0.077,0.077,0.073,0.075,0.074,0.076,0.075,0.076,0.073,0.078,0.077,0.078,0.077,0.076,0.074,0.076,0.078,0.077,0.076,0.076,0.072,0.075,0.083,0.074,0.074,0.074,0.072,0.076,0.08,0.074,0.081,0.075,0.072,0.097,0.078,0.078,0.078,0.087,0.074
1:20:00,0.076,0.095,0.077,0.08,0.077,0.075,0.077,0.077,0.076,0.077,0.077,0.073,0.075,0.074,0.076,0.075,0.076,0.073,0.077,0.077,0.078,0.077,0.076,0.074,0.076,0.078,0.077,0.076,0.076,0.072,0.075,0.083,0.074,0.074,0.074,0.072,0.076,0.08,0.074,0.081,0.075,0.072,0.097,0.078,0.078,0.078,0.087,0.075
1:40:00,0.076,0.095,0.077,0.08,0.077,0.075,0.077,0.078,0.076,0.077,0.077,0.073,0.075,0.074,0.076,0.075,0.076,0.073,0.078,0.077,0.078,0.077,0.076,0.074,0.076,0.078,0.077,0.076,0.076,0.072,0.075,0.083,0.074,0.074,0.075,0.072,0.076,0.08,0.074,0.082,0.075,0.072,0.097,0.078,0.078,0.079,0.087,0.075
2:00:00,0.076,0.095,0.077,0.08,0.077,0.075,0.077,0.078,0.076,0.077,0.077,0.073,0.075,0.074,0.076,0.075,0.076,0.073,0.078,0.077,0.078,0.077,0.077,0.074,0.076,0.078,0.077,0.076,0.076,0.072,0.075,0.083,0.074,0.074,0.075,0.072,0.076,0.08,0.074,0.082,0.075,0.072,0.097,0.078,0.079,0.079,0.087,0.075
2:20:00,0.076,0.095,0.077,0.08,0.078,0.075,0.077,0.078,0.076,0.078,0.077,0.073,0.075,0.074,0.076,0.075,0.076,0.073,0.078,0.077,0.078,0.077,0.077,0.074,0.077,0.078,0.077,0.076,0.076,0.072,0.076,0.083,0.075,0.074,0.075,0.072,0.076,0.08,0.075,0.082,0.075,0.072,0.097,0.078,0.078,0.079,0.087,0.075
2:40:00,0.077,0.095,0.077,0.08,0.078,0.075,0.077,0.078,0.076,0.078,0.078,0.073,0.076,0.075,0.076,0.075,0.076,0.073,0.078,0.077,0.078,0.077,0.077,0.074,0.077,0.078,0.077,0.076,0.076,0.072,0.076,0.084,0.075,0.075,0.075,0.072,0.076,0.081,0.075,0.082,0.075,0.072,0.098,0.078,0.079,0.079,0.087,0.074
3:00:00,0.077,0.095,0.077,0.081,0.078,0.075,0.077,0.078,0.077,0.078,0.078,0.073,0.076,0.075,0.077,0.075,0.077,0.073,0.078,0.078,0.078,0.078,0.077,0.074,0.077,0.079,0.077,0.077,0.077,0.072,0.076,0.084,0.075,0.075,0.075,0.072,0.077,0.081,0.075,0.082,0.076,0.072,0.098,0.079,0.079,0.079,0.088,0.075
3:20:00,0.077,0.095,0.078,0.081,0.078,0.075,0.077,0.079,0.077,0.078,0.078,0.073,0.076,0.075,0.077,0.076,0.077,0.073,0.078,0.078,0.078,0.078,0.078,0.074,0.077,0.079,0.078,0.077,0.077,0.072,0.076,0.084,0.075,0.075,0.076,0.072,0.077,0.081,0.075,0.082,0.076,0.072,0.098,0.079,0.079,0.08,0.088,0.074
3:40:00,0.077,0.096,0.078,0.081,0.078,0.075,0.078,0.079,0.077,0.078,0.079,0.073,0.076,0.075,0.077,0.076,0.077,0.073,0.079,0.078,0.079,0.078,0.078,0.074,0.078,0.079,0.078,0.077,0.077,0.072,0.077,0.085,0.075,0.075,0.076,0.072,0.077,0.082,0.076,0.083,0.076,0.072,0.099,0.08,0.08,0.08,0.089,0.074
4:00:00,0.077,0.095,0.078,0.081,0.078,0.075,0.078,0.079,0.077,0.079,0.079,0.073,0.077,0.076,0.078,0.076,0.078,0.073,0.079,0.079,0.079,0.079,0.078,0.074,0.078,0.079,0.078,0.078,0.078,0.072,0.077,0.085,0.076,0.076,0.077,0.072,0.078,0.082,0.076,0.083,0.077,0.072,0.099,0.08,0.08,0.081,0.089,0.075
4:20:00,0.077,0.096,0.078,0.082,0.078,0.075,0.078,0.08,0.078,0.079,0.079,0.073,0.077,0.076,0.078,0.077,0.078,0.073,0.08,0.079,0.08,0.079,0.079,0.074,0.078,0.08,0.079,0.078,0.078,0.072,0.077,0.086,0.076,0.076,0.077,0.072,0.078,0.082,0.077,0.083,0.077,0.072,0.099,0.081,0.08,0.081,0.09,0.075
4:40:00,0.077,0.096,0.078,0.082,0.078,0.075,0.079,0.08,0.078,0.079,0.08,0.073,0.077,0.076,0.079,0.077,0.079,0.073,0.08,0.079,0.08,0.08,0.079,0.074,0.079,0.08,0.08,0.079,0.079,0.072,0.078,0.087,0.077,0.077,0.078,0.072,0.078,0.083,0.077,0.084,0.078,0.072,0.1,0.082,0.081,0.082,0.09,0.075
5:00:00,0.077,0.097,0.078,0.082,0.078,0.075,0.079,0.08,0.078,0.08,0.08,0.073,0.078,0.077,0.079,0.078,0.079,0.073,0.081,0.08,0.081,0.08,0.08,0.074,0.079,0.081,0.08,0.08,0.08,0.072,0.078,0.087,0.077,0.077,0.078,0.072,0.079,0.083,0.078,0.085,0.079,0.072,0.101,0.083,0.082,0.083,0.091,0.075
5:20:00,0.077,0.097,0.078,0.083,0.078,0.075,0.079,0.08,0.078,0.08,0.08,0.073,0.079,0.078,0.08,0.079,0.08,0.073,0.082,0.081,0.082,0.081,0.081,0.074,0.08,0.082,0.081,0.08,0.081,0.072,0.079,0.088,0.078,0.078,0.079,0.072,0.079,0.084,0.079,0.086,0.079,0.072,0.101,0.084,0.083,0.084,0.092,0.075
5:40:00,0.078,0.097,0.078,0.083,0.079,0.075,0.079,0.08,0.078,0.08,0.08,0.073,0.079,0.078,0.08,0.079,0.08,0.073,0.083,0.082,0.082,0.082,0.082,0.074,0.081,0.082,0.082,0.081,0.082,0.072,0.08,0.089,0.079,0.079,0.08,0.072,0.08,0.085,0.08,0.087,0.08,0.072,0.102,0.084,0.084,0.085,0.093,0.075
6:00:00,0.077,0.098,0.078,0.084,0.079,0.075,0.079,0.08,0.078,0.08,0.08,0.073,0.079,0.078,0.081,0.079,0.08,0.073,0.084,0.083,0.083,0.083,0.083,0.074,0.082,0.084,0.083,0.083,0.083,0.072,0.081,0.09,0.08,0.08,0.081,0.072,0.081,0.086,0.08,0.088,0.081,0.072,0.103,0.086,0.085,0.086,0.094,0.074
6:20:00,0.077,0.098,0.078,0.084,0.079,0.075,0.079,0.08,0.078,0.08,0.08,0.073,0.079,0.078,0.081,0.079,0.08,0.073,0.085,0.084,0.085,0.084,0.084,0.074,0.084,0.084,0.084,0.084,0.085,0.072,0.082,0.091,0.081,0.081,0.083,0.073,0.082,0.087,0.082,0.09,0.083,0.072,0.105,0.088,0.087,0.087,0.096,0.075
6:40:00,0.078,0.098,0.078,0.084,0.079,0.075,0.079,0.08,0.078,0.08,0.08,0.073,0.079,0.078,0.081,0.079,0.08,0.073,0.085,0.085,0.085,0.085,0.084,0.074,0.085,0.086,0.086,0.086,0.086,0.072,0.083,0.092,0.083,0.082,0.084,0.072,0.084,0.089,0.083,0.091,0.084,0.072,0.107,0.089,0.089,0.089,0.098,0.075
7:00:00,0.077,0.098,0.078,0.084,0.079,0.075,0.079,0.08,0.078,0.08,0.08,0.073,0.079,0.078,0.081,0.079,0.08,0.073,0.085,0.085,0.085,0.084,0.084,0.074,0.087,0.087,0.088,0.088,0.088,0.072,0.085,0.093,0.084,0.084,0.086,0.072,0.085,0.09,0.085,0.093,0.086,0.072,0.109,0.091,0.091,0.091,0.1,0.074
7:20:00,0.077,0.098,0.078,0.084,0.078,0.075,0.079,0.08,0.078,0.08,0.08,0.073,0.079,0.078,0.081,0.079,0.08,0.073,0.085,0.085,0.085,0.084,0.084,0.074,0.089,0.089,0.09,0.09,0.091,0.072,0.087,0.095,0.086,0.086,0.089,0.072,0.087,0.092,0.087,0.095,0.088,0.072,0.111,0.094,0.093,0.094,0.102,0.075
7:40:00,0.078,0.098,0.078,0.084,0.079,0.075,0.079,0.08,0.078,0.08,0.08,0.073,0.079,0.078,0.081,0.079,0.08,0.073,0.085,0.085,0.085,0.084,0.084,0.074,0.091,0.091,0.092,0.091,0.091,0.072,0.089,0.097,0.089,0.088,0.091,0.073,0.089,0.094,0.09,0.098,0.091,0.072,0.114,0.097,0.096,0.097,0.105,0.074
8:00:00,0.078,0.097,0.078,0.084,0.079,0.075,0.079,0.08,0.078,0.08,0.08,0.073,0.079,0.078,0.081,0.08,0.08,0.073,0.085,0.085,0.085,0.084,0.084,0.074,0.092,0.093,0.092,0.091,0.091,0.072,0.092,0.1,0.091,0.091,0.095,0.072,0.092,0.097,0.092,0.101,0.094,0.072,0.117,0.1,0.099,0.1,0.109,0.075
8:20:00,0.077,0.097,0.078,0.084,0.078,0.075,0.079,0.08,0.078,0.08,0.08,0.073,0.079,0.078,0.081,0.079,0.08,0.073,0.085,0.085,0.085,0.084,0.084,0.074,0.091,0.093,0.092,0.09,0.091,0.072,0.095,0.103,0.094,0.094,0.098,0.073,0.095,0.1,0.096,0.104,0.098,0.072,0.121,0.104,0.103,0.104,0.113,0.074
