Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49
4:40:00,0.084,0.088,0.075,0.076,0.076,0.072,0.083,0.079,0.076,0.08,0.081,0.086,0.077,0.076,0.077,0.075,0.075,0.071,0.078,0.081,0.08,0.081,0.076,0.074,0.081,0.078,0.082,0.079,0.077,0.079,0.079,0.078,0.077,0.078,0.076,0.073,0.08,0.095,0.082,0.08,0.078,0.076,0.079,0.081,0.081,0.078,0.079,0.074
5:00:00,0.084,0.087,0.074,0.076,0.076,0.072,0.084,0.078,0.076,0.079,0.081,0.085,0.076,0.076,0.077,0.075,0.075,0.071,0.078,0.081,0.08,0.08,0.076,0.073,0.08,0.077,0.082,0.079,0.077,0.078,0.079,0.077,0.077,0.077,0.076,0.072,0.08,0.094,0.082,0.08,0.078,0.076,0.079,0.081,0.081,0.077,0.078,0.073
5:20:00,0.084,0.088,0.074,0.076,0.076,0.072,0.084,0.079,0.076,0.079,0.081,0.085,0.077,0.077,0.077,0.076,0.075,0.071,0.079,0.081,0.081,0.08,0.076,0.073,0.081,0.078,0.083,0.08,0.077,0.078,0.08,0.078,0.077,0.078,0.077,0.072,0.081,0.095,0.082,0.08,0.078,0.076,0.08,0.082,0.082,0.078,0.079,0.073
5:40:00,0.085,0.088,0.075,0.077,0.076,0.072,0.084,0.079,0.077,0.079,0.081,0.085,0.078,0.077,0.078,0.076,0.076,0.071,0.079,0.082,0.082,0.081,0.077,0.073,0.082,0.078,0.083,0.081,0.078,0.078,0.08,0.079,0.078,0.079,0.077,0.072,0.081,0.096,0.083,0.08,0.079,0.076,0.08,0.082,0.083,0.079,0.079,0.073
6:00:00,0.085,0.088,0.074,0.076,0.076,0.072,0.084,0.079,0.077,0.079,0.081,0.085,0.078,0.078,0.078,0.077,0.076,0.071,0.08,0.082,0.082,0.081,0.077,0.073,0.082,0.079,0.084,0.081,0.078,0.079,0.081,0.079,0.079,0.079,0.078,0.072,0.082,0.096,0.083,0.081,0.08,0.075,0.081,0.083,0.083,0.079,0.08,0.073
6:20:00,0.085,0.088,0.075,0.077,0.076,0.072,0.084,0.079,0.077,0.079,0.081,0.085,0.079,0.079,0.079,0.077,0.077,0.071,0.081,0.083,0.083,0.082,0.078,0.073,0.083,0.079,0.085,0.082,0.079,0.078,0.082,0.08,0.08,0.08,0.078,0.072,0.083,0.097,0.084,0.082,0.081,0.075,0.082,0.083,0.084,0.08,0.081,0.073
6:40:00,0.085,0.088,0.074,0.077,0.076,0.072,0.085,0.079,0.077,0.079,0.081,0.085,0.078,0.078,0.079,0.077,0.077,0.071,0.082,0.083,0.084,0.082,0.078,0.073,0.084,0.08,0.085,0.083,0.08,0.078,0.082,0.08,0.08,0.081,0.079,0.072,0.084,0.098,0.085,0.082,0.081,0.075,0.083,0.084,0.084,0.081,0.081,0.073
7:00:00,0.085,0.088,0.074,0.077,0.076,0.072,0.085,0.079,0.077,0.079,0.082,0.085,0.078,0.079,0.079,0.077,0.077,0.071,0.083,0.084,0.085,0.083,0.079,0.073,0.085,0.081,0.086,0.084,0.081,0.078,0.084,0.081,0.081,0.082,0.08,0.072,0.085,0.1,0.086,0.083,0.083,0.075,0.084,0.085,0.085,0.082,0.082,0.073
7:20:00,0.085,0.088,0.075,0.077,0.076,0.072,0.085,0.079,0.077,0.079,0.082,0.085,0.078,0.079,0.079,0.077,0.077,0.071,0.083,0.085,0.086,0.084,0.08,0.073,0.087,0.082,0.087,0.085,0.082,0.078,0.085,0.083,0.082,0.083,0.081,0.072,0.087,0.102,0.087,0.085,0.084,0.075,0.085,0.087,0.087,0.083,0.083,0.073
7:40:00,0.085,0.088,0.075,0.077,0.076,0.072,0.085,0.079,0.077,0.079,0.082,0.085,0.078,0.079,0.079,0.077,0.077,0.071,0.083,0.086,0.087,0.085,0.081,0.073,0.088,0.083,0.088,0.087,0.084,0.078,0.087,0.084,0.084,0.085,0.083,0.072,0.088,0.103,0.089,0.086,0.085,0.075,0.087,0.089,0.088,0.084,0.084,0.073
8:00:00,0.085,0.088,0.075,0.077,0.076,0.072,0.085,0.079,0.077,0.079,0.083,0.085,0.078,0.079,0.079,0.078,0.077,0.071,0.083,0.086,0.087,0.086,0.082,0.073,0.09,0.084,0.09,0.089,0.086,0.079,0.089,0.086,0.085,0.087,0.085,0.072,0.09,0.106,0.09,0.088,0.087,0.075,0.089,0.091,0.09,0.086,0.086,0.073
