Var1,Var2,x_1_606_1_,x_1_606_2_,x_2_606_1_,x_2_606_2_,x_4_606_1_,x_4_606_2_,x_7_606_1_,x_7_606_2_,x_8_606_1_,x_8_606_2_,x_9_606_1_,x_9_606_2_,x_11_606_1_,x_11_606_2_,x_12_606_1_,x_13_606_1_,x_13_606_2_,x_14_606_1_,x_14_606_2_,x_17_606_1_,x_17_606_2_,x_18_606_1_,x_18_606_2_,x_19_606_1_,x_19_606_2_,x_20_606_1_,x_20_606_2_,x_21_606_1_,x_21_606_2_,x_22_606_1_,x_22_606_2_,x_23_606_1_,x_23_606_2_,x_26_606_1_,x_26_606_2_,x_27_606_1_,x_27_606_2_,x_28_606_1_,x_28_606_2_,x_29_606_1_,x_29_606_2_,x_32_606_1_,x_32_606_2_,x_41_606_1_,x_47_606_1_,x_47_606_2_,x_50_606_1_,x_51_606_1_,x_51_606_2_,x_52_606_1_,x_52_606_2_,x_56_606_1_,x_56_606_2_,x_57_606_1_,x_57_606_2_,x_59_606_1_,x_59_606_2_,x_60_606_1_,x_60_606_2_,x_61_606_1_,x_61_606_2_,x_62_606_1_,x_62_606_2_,x_65_606_1_,x_65_606_2_,x_66_606_1_,x_66_606_2_,x_67_606_1_,x_67_606_2_,x_68_606_1_,x_68_606_2_,x_69_606_1_,x_69_606_2_,x_70_606_1_,x_70_606_2_,x_71_606_1_,x_71_606_2_,x_94_606_1_,x_94_606_2_,x_95_606_1_,x_95_606_2_,x_96_606_1_,x_96_606_2_,x_98_606_1_,x_98_606_2_,x_99_606_1_,x_99_606_2_,x_30_b_1_,x_30_b_2_,x_41_b_1_,x_50_a_1_,x_97_b_1_,x_wt_
,'26a',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,'27a',0.181147540983607,0.630327868852459,0.39672131147541,0.215573770491803,0.373770491803279,0.254098360655738,0.381147540983607,0.261475409836066,0.311475409836066,0.25,0.159016393442623,0.284426229508197,0.144262295081967,0.194262295081967,0.151639344262295,0.249180327868852,0.410655737704918,0.500819672131148,0.427868852459016,0.0672131147540984,0.324590163934426,0.442622950819672,0.359836065573771,0.34672131147541,0.120491803278689,0.125409836065574,0.376229508196721,0.467213114754098,0.377868852459016,0.405737704918033,0.431147540983607,0.44672131147541,0.429508196721311,0.417213114754098,0.432786885245902,0.329508196721312,0.150819672131148,0.181147540983607,0.217213114754098,0.369672131147541,0.348360655737705,0.365573770491803,0.239344262295082,0.449180327868853,0.445081967213115,0.419672131147541,0.247540983606557,0.35327868852459,0.288524590163934,0.245081967213115,0.216393442622951,0.530327868852459,0.336065573770492,0.368852459016393,0.418852459016393,0.328688524590164,0.263114754098361,0.389344262295082,0.40655737704918,0.315573770491803,0.177868852459016,0.190983606557377,0.368032786885246,0.189344262295082,0.354918032786885,0.151639344262295,0.501639344262295,0.480327868852459,0.440983606557377,0.373770491803279,0.450819672131148,0.281147540983607,0,0.214754098360656,0.349180327868852,0.34672131147541,0.337704918032787,0,0.420491803278689,0.40655737704918,0.244262295081967,0.427049180327869,0.405737704918033,0.336065573770492,0.104918032786885,0.477868852459016,0.354098360655738,0.601639344262295,0.484426229508197,0.372131147540984,0.432786885245902,0.0352459016393443,0.285245901639344
,'28a',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,'28b',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,'29a',0,0.151639344262295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183606557377049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213114754098361,0,0,0.0786885245901639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401639344262295,0.0573770491803279,0,0,0.0950819672131148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149180327868852,0.15655737704918,0,0,0,0
,'2b',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,'30a',0.514754098360656,0.604098360655738,0.524590163934426,0.40655737704918,0.465573770491803,0,0.402459016393443,0.362295081967213,0.459836065573771,0.181147540983607,0.204918032786885,0.251639344262295,0.259836065573771,0.341803278688525,0.204098360655738,0.390983606557377,0.482786885245902,0.520491803278689,0.495901639344262,0.0573770491803279,0.427868852459016,0.662295081967213,0.545901639344262,0.231967213114754,0.242622950819672,0.195901639344262,0.431147540983607,0.442622950819672,0.421311475409836,0.434426229508197,0.457377049180328,0.364754098360656,0.324590163934426,0.437704918032787,0.379508196721312,0.237704918032787,0.254918032786885,0.287704918032787,0.247540983606557,0.394262295081967,0.386885245901639,0.577049180327869,0.327868852459016,0.50327868852459,0.609016393442623,0.584426229508197,0.114754098360656,0.289344262295082,0.283606557377049,0.309016393442623,0.35655737704918,0.587704918032787,0.376229508196721,0.361475409836066,0.441803278688525,0.426229508196721,0.426229508196721,0.417213114754098,0.441803278688525,0.450819672131148,0.24344262295082,0.299180327868852,0.30983606557377,0.238524590163934,0.286065573770492,0.0745901639344262,0.614754098360656,0.772950819672131,0.434426229508197,0.486885245901639,0.530327868852459,0.336885245901639,0,0.266393442622951,0.40655737704918,0.464754098360656,0.394262295081967,0,0.44344262295082,0.382786885245902,0.0491803278688525,0.541803278688525,0.383606557377049,0.178688524590164,0.277868852459016,0.528688524590164,0.477868852459016,0.611475409836066,0.710655737704918,0.294262295081967,0.519672131147541,0.040983606557377,0.3
,'41a',0.145081967213115,0.238524590163934,0.249180327868852,0.240983606557377,0.191803278688525,0.178688524590164,0.175409836065574,0.102459016393443,0.128688524590164,0.141803278688525,0.0860655737704918,0.0827868852459016,0.254918032786885,0.268032786885246,0.172131147540984,0.232786885245902,0.268032786885246,0.181147540983607,0.168852459016393,0.0377049180327869,0.122131147540984,0.137704918032787,0.119672131147541,0.0975409836065574,0.259016393442623,0.301639344262295,0.24344262295082,0.197540983606557,0.0967213114754098,0.205737704918033,0.190983606557377,0.14016393442623,0.129508196721311,0.118032786885246,0.110655737704918,0.0819672131147541,0.269672131147541,0.258196721311475,0.267213114754098,0.254918032786885,0.20327868852459,0.0991803278688525,0.0721311475409836,0.0131147540983607,0.141803278688525,0.107377049180328,0.0729508196721311,0.136065573770492,0.269672131147541,0.272131147540984,0.265573770491803,0.221311475409836,0.181147540983607,0.161475409836066,0.147540983606557,0.109016393442623,0.0901639344262295,0.172131147540984,0.135245901639344,0.134426229508197,0.291803278688525,0.24344262295082,0.248360655737705,0.186885245901639,0.24344262295082,0.0967213114754098,0.150819672131148,0.167213114754098,0.170491803278689,0.161475409836066,0.14016393442623,0.113934426229508,0.0262295081967213,0.186065573770492,0.215573770491803,0.195081967213115,0.170491803278689,0,0.209836065573771,0.159836065573771,0.0901639344262295,0.165573770491803,0.170491803278689,0.0959016393442623,0.205737704918033,0.314754098360656,0.245901639344262,0.219672131147541,0.240983606557377,0.0131147540983607,0.162295081967213,0,0.122131147540984
,'47a',0.338524590163934,0.816393442622951,0.652459016393443,0.332786885245902,0.513114754098361,0.340983606557377,0.286885245901639,0.224590163934426,0.235245901639344,0.130327868852459,0.252459016393443,0.209836065573771,0.324590163934426,0.317213114754098,0.235245901639344,0.377868852459016,0.366393442622951,0.520491803278689,0.345901639344262,0,0.323770491803279,0.545081967213115,0.54344262295082,0.318852459016393,0.295081967213115,0.282786885245902,0.366393442622951,0.358196721311475,0.457377049180328,0.281967213114754,0.436885245901639,0.270491803278689,0.289344262295082,0.281147540983607,0.319672131147541,0.258196721311475,0.25327868852459,0.259016393442623,0.269672131147541,0.328688524590164,0.351639344262295,0.414754098360656,0.170491803278689,0.39016393442623,0.470491803278689,0.418852459016393,0.0786885245901639,0.319672131147541,0.357377049180328,0.35655737704918,0.240983606557377,0.440983606557377,0.280327868852459,0.337704918032787,0.276229508196721,0.298360655737705,0.454918032786885,0.307377049180328,0.277868852459016,0.281147540983607,0.287704918032787,0.236065573770492,0.358196721311475,0.263114754098361,0.29344262295082,0.160655737704918,0.509836065573771,0.381147540983607,0.276229508196721,0.319672131147541,0.362295081967213,0.24016393442623,0.0213114754098361,0.25,0.333606557377049,0.316393442622951,0.312295081967213,0,0.307377049180328,0.252459016393443,0.069672131147541,0.409016393442623,0.272131147540984,0.154918032786885,0.214754098360656,0.49344262295082,0.392622950819672,0.59672131147541,0.452459016393443,0.295081967213115,0.40655737704918,0.0131147540983607,0.217213114754098
,'4a',0.177868852459016,0.432786885245902,0.334426229508197,0.122950819672131,0.209836065573771,0.117213114754098,0.14016393442623,0.125409836065574,0.2,0.059016393442623,0.113934426229508,0.109016393442623,0.102459016393443,0.162295081967213,0.0368852459016393,0.150819672131148,0.151639344262295,0.234426229508197,0.122131147540984,0.0344262295081967,0.177868852459016,0.401639344262295,0.269672131147541,0.198360655737705,0.069672131147541,0.0434426229508197,0.15655737704918,0.177049180327869,0.169672131147541,0.0983606557377049,0.113934426229508,0.114754098360656,0.119672131147541,0.159016393442623,0.223770491803279,0.149180327868852,0.0877049180327869,0.0778688524590164,0.102459016393443,0.110655737704918,0.125409836065574,0.155737704918033,0.0524590163934426,0.137704918032787,0.14672131147541,0.273770491803279,0.040983606557377,0.189344262295082,0.238524590163934,0.120491803278689,0.0639344262295082,0.19672131147541,0.0639344262295082,0.0868852459016394,0.0909836065573771,0.0762295081967213,0.141803278688525,0.14672131147541,0.176229508196721,0.179508196721311,0.0836065573770492,0.0295081967213115,0.131147540983607,0.0360655737704918,0.113114754098361,0,0.148360655737705,0.205737704918033,0.154098360655738,0.171311475409836,0.191803278688525,0.15327868852459,0,0.0344262295081967,0.1,0.139344262295082,0.0639344262295082,0,0.0745901639344262,0.0827868852459016,0,0.163114754098361,0.15,0.140983606557377,0,0.20327868852459,0.120491803278689,0.45327868852459,0.280327868852459,0.0254098360655738,0.109016393442623,0,0.0860655737704918
